Timecode List:,00:00:06.273,00:00:12.279,00:00:55.022,00:01:01.028,00:01:09.436,00:01:19.046,00:01:28.255,00:01:34.261
Scene Number,Start Frame,Start Timecode,Start Time (seconds),End Frame,End Timecode,End Time (seconds),Length (frames),Length (timecode),Length (seconds)
1,0,00:00:00.000,0.000,188,00:00:06.273,6.273,188,00:00:06.273,6.273
2,188,00:00:06.273,6.273,368,00:00:12.279,12.279,180,00:00:06.006,6.006
3,368,00:00:12.279,12.279,1649,00:00:55.022,55.022,1281,00:00:42.743,42.743
4,1649,00:00:55.022,55.022,1829,00:01:01.028,61.028,180,00:00:06.006,6.006
5,1829,00:01:01.028,61.028,2081,00:01:09.436,69.436,252,00:00:08.408,8.408
6,2081,00:01:09.436,69.436,2369,00:01:19.046,79.046,288,00:00:09.610,9.610
7,2369,00:01:19.046,79.046,2645,00:01:28.255,88.255,276,00:00:09.209,9.209
8,2645,00:01:28.255,88.255,2825,00:01:34.261,94.261,180,00:00:06.006,6.006
9,2825,00:01:34.261,94.261,2968,00:01:39.032,99.032,143,00:00:04.771,4.771
